https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT
1615593600,2021-03-13 00:00:00,LTC/USDT,220.97892275,230.00940177,212.87745282,226.23649677,4703845.10583619,20937.97195778
1615507900,2021-03-12 00:11:40,LTC/USDT,220.57190738,220.57190738,220.57190738,220.57190738,0.0,0.0
1615507200,2021-03-12 00:00:00,LTC/USDT,201.27415926,224.06587892,198.58428676,220.57190738,9127283.80914543,43415.80476241
1615421556,2021-03-11 00:12:36,LTC/USDT,201.20422052,201.20422052,201.20422052,201.20422052,0.0,0.0
1615420800,2021-03-11 00:00:00,LTC/USDT,200.2805431,203.35133083,191.07816041,201.20422052,2991242.29293934,15089.29418105
1615335142,2021-03-10 00:12:22,LTC/USDT,200.05355166,200.05355166,200.05355166,200.05355166,0.0,0.0
1615334400,2021-03-10 00:00:00,LTC/USDT,203.75510204,208.0,191.5217,200.05355166,5277942.14471481,26215.03740391
1615248680,2021-03-09 00:11:20,LTC/USDT,203.75510203,203.75510203,203.75510203,203.75510203,0.0,0.0
1615248000,2021-03-09 00:00:00,LTC/USDT,191.89734754,204.81487733,189.06943089,203.75510203,4654416.18201468,23468.59557269
1615162291,2021-03-08 00:11:31,LTC/USDT,191.6194253,191.6194253,191.6194253,191.6194253,0.0,0.0
1615161600,2021-03-08 00:00:00,LTC/USDT,190.74428815,195.19504288,179.2653328,191.6194253,2876611.6925442,15454.54528494
1615075786,2021-03-07 00:09:46,LTC/USDT,190.56575409,190.56575409,190.56575409,190.56575409,0.0,0.0
1615075200,2021-03-07 00:00:00,LTC/USDT,183.02659328,192.07169826,182.19112546,190.56575409,3306236.87520339,17647.12295356
1614989828,2021-03-06 00:17:08,LTC/USDT,182.70685628,182.70685628,182.70685628,182.70685628,0.0,0.0
1614988800,2021-03-06 00:00:00,LTC/USDT,180.49135712,184.53888523,176.19092,182.70685628,2506829.40391266,13849.12471655
1614903822,2021-03-05 00:23:42,LTC/USDT,180.20344332,180.20344332,180.20344332,180.20344332,0.0,0.0
1614902400,2021-03-05 00:00:00,LTC/USDT,180.72106088,183.38180266,168.53912641,180.20344332,2518992.84254626,14372.01757936
1614817200,2021-03-04 00:20:00,LTC/USDT,180.66342593,180.66342593,180.66342593,180.66342593,0.0,0.0
1614816000,2021-03-04 00:00:00,LTC/USDT,187.60590652,194.37108661,177.07811483,180.66342593,4055324.78262702,21917.27970933
